,model,params,mean_test_accuracy,std_test_accuracy,mean_test_f1,std_test_f1,mean_test_roc_auc,std_test_roc_auc
0,RandomForestClassifier,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 16}",0.7243298986835757,0.010206952086881977,0.7430505152557964,0.009661402726338548,0.7292228683653589,0.010944997305931573
1,RandomForestClassifier,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 32}",0.7341042915891285,0.01244246244865425,0.7556798516191514,0.011280676220200828,0.736914620834494,0.013258466357571145
2,ExtraTreesClassifier,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 16}",0.7264521446458521,0.010921776675972297,0.7459704147697822,0.009989612309982259,0.7308040352975749,0.011829368439413365
3,ExtraTreesClassifier,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__n_estimators': 32}",0.7293308750890253,0.011162416897003875,0.7514641534575095,0.009841229003584483,0.7319378723088819,0.012035384036643509
4,AdaBoostClassifier,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 16}",0.5859648034553266,0.07485895422752428,0.5709080633267891,0.2594954968353922,0.5722036097109247,0.025241194546284717
5,AdaBoostClassifier,"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 32}",0.6368870471201784,0.011087378058124138,0.7376351648494712,0.011011408696305697,0.5932800529915114,0.012998237063074824
6,GradientBoostingClassifier,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 16}",0.6942482826751212,0.01627330736598,0.7312495586545706,0.015879126957856635,0.6887293374486292,0.017071124818707085
7,GradientBoostingClassifier,"{'classifier__learning_rate': 0.01, 'classifier__max_depth': 5, 'classifier__n_estimators': 32}",0.6981876191789004,0.0158466617262929,0.7332192494630597,0.01435034021679556,0.6937722665623687,0.01652837035478745
8,GradientBoostingClassifier,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 16}",0.7107653870011716,0.014287754749769883,0.7428988655459512,0.013522942736433672,0.7075560034085916,0.01506318922589818
9,GradientBoostingClassifier,"{'classifier__learning_rate': 0.1, 'classifier__max_depth': 5, 'classifier__n_estimators': 32}",0.7207670526339973,0.013883111023377548,0.74938573992604,0.014668106485167297,0.7193360674595608,0.013468203933550629
10,XGBClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.7206159395317849,0.01245972991156738,0.7469794540582213,0.01318874066403982,0.7206924191444918,0.012088808985587191
11,XGBClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 6, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.7232682587819055,0.011169742563974206,0.7493258049726352,0.012363739650108698,0.7234357183303889,0.010495100318009699
12,XGBClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 6, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.7394078962483056,0.010903167874978059,0.7653685942735037,0.01061452677195045,0.7389678623776792,0.011236838085561666
13,XGBClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 6, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.7484252877524294,0.009467350504407297,0.7728360754992355,0.009175484534916747,0.7486700417378649,0.00979603815171345
14,LGBMClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': -1, 'classifier__n_estimators': 100, 'classifier__num_leaves': 31, 'classifier__subsample': 0.8}",0.7192516139407724,0.011778835859946523,0.744747166687414,0.01320231668135025,0.719930251578784,0.011037883237797877
15,LGBMClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.01, 'classifier__max_depth': -1, 'classifier__n_estimators': 200, 'classifier__num_leaves': 31, 'classifier__subsample': 0.8}",0.724707710156914,0.010679565199088052,0.7495881925136908,0.012054243971004087,0.7255964630465173,0.009820460123454427
16,LGBMClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': -1, 'classifier__n_estimators': 100, 'classifier__num_leaves': 31, 'classifier__subsample': 0.8}",0.7395596985778943,0.009046266374441909,0.7645509164985121,0.009781847207630834,0.7397800986378755,0.008769958965577798
17,LGBMClassifier,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': -1, 'classifier__n_estimators': 200, 'classifier__num_leaves': 31, 'classifier__subsample': 0.8}",0.7445607324189585,0.011327007669129295,0.7694037769836202,0.010450684506409173,0.7446866199593638,0.012050470589568464
